surface_temperature_k,h_gas_density_cm3,uv_flux_factor,grain_radius_um_mrn,_mrn_weight,n_runs,epsilon_mean,epsilon_std,h2_release_rate_cm2_s_mean,h2_release_rate_cm2_s_std
60.0,1000.0,0.0,0.0101829507074994,0.0590618203502633,20,0.275895,0.004071398957813421,3995931.2630514093,52021.917518527494
60.0,1000.0,0.0,0.014532002371505,0.0170108283875517,20,0.27442,0.003064156104309787,3980070.0567802675,43012.22810381076
60.0,1000.0,0.0,0.0207384970222728,0.0048994135418557,20,0.273875,0.0023246674917863945,3966648.142129631,36587.35956398073
60.0,1000.0,0.0,0.0295957327660602,0.0014111160554465,20,0.27454,0.0037600951835656633,3985480.879423565,63307.7756121314
60.0,1000.0,0.0,0.0422358185850857,0.0004064258925946,20,0.273785,0.003343536577055096,3970731.44275441,44737.8501829915
60.0,1000.0,0.0,0.0602743775818237,0.0001170577044558,20,0.27466,0.0035562250831612592,3994771.82025835,56485.281758370176
60.0,1000.0,0.0,0.0860170517485636,3.371464865339389e-05,20,0.276025,0.0022306182763388305,3995400.6698906235,34579.571098068256
60.0,1000.0,0.0,0.1227542031681846,9.710403421165916e-06,20,0.275885,0.0033620599888195056,3994876.0126209245,57335.30108016618
60.0,1000.0,0.0,0.175181479592011,2.796764562821532e-06,20,0.274835,0.0026681898062366643,3977178.406470306,33917.45921952201
60.0,1000.0,0.0,0.25,8.055166897396681e-07,20,0.27329,0.0031730609495365255,3971268.903295388,55552.99293374241
70.0,1000.0,0.0,0.0049999999999999,0.7119828920923248,20,0.27619000000000005,0.0032709084525958786,4016555.415201126,54729.70606749383
70.0,1000.0,0.0,0.007135457486209,0.20506341864218,20,0.275555,0.00272115977596242,3983642.219363095,47981.8652334443
70.0,1000.0,0.0,0.0101829507074994,0.0590618203502633,20,0.275055,0.003493373426179452,3991363.4249686236,50291.292411895454
70.0,1000.0,0.0,0.014532002371505,0.0170108283875517,20,0.274405,0.0030526045824577526,3979664.4126921697,59831.9416552599
70.0,1000.0,0.0,0.0207384970222728,0.0048994135418557,20,0.275185,0.0032410646398984442,3975306.5814979943,46640.76698542276
70.0,1000.0,0.0,0.0295957327660602,0.0014111160554465,20,0.274025,0.00301083569444555,3972685.586502663,54119.09412498053
70.0,1000.0,0.0,0.0422358185850857,0.0004064258925946,20,0.272955,0.0025909711652095614,3966036.83580013,43484.80915945391
70.0,1000.0,0.0,0.0602743775818237,0.0001170577044558,20,0.27325499999999997,0.0032271015184723154,3964064.6318208673,57487.74920434417
70.0,1000.0,0.0,0.0860170517485636,3.371464865339389e-05,20,0.27466,0.0033915374560498997,3982743.3172201505,54411.12630097506
70.0,1000.0,0.0,0.1227542031681846,9.710403421165916e-06,20,0.274835,0.0033408594860100185,3977405.7259417986,39209.18682683186
70.0,1000.0,0.0,0.175181479592011,2.796764562821532e-06,20,0.274615,0.002770953664449535,3977165.159635114,43779.481431387554
70.0,1000.0,0.0,0.25,8.055166897396681e-07,20,0.27424,0.002811143239998541,3976019.8533231453,48694.92852961434
80.0,1000.0,0.0,0.0049999999999999,0.7119828920923248,20,0.27102,0.003118974190338862,3939140.5656620534,47417.564804219204
