surface_temperature_k,h_gas_density_cm3,uv_flux_factor,gas_temperature_k,ct_model_variant,gas_flux_h_cm2_s,arrival_rate_per_site_s,sticking_probability,ct_epsilon,ct_h2_release_rate_cm2_s,ct02_epsilon,ct02_h2_release_rate_cm2_s,h2_release_rate_cm2_s_mean,ratio_kmc_over_ct02,log10_ratio_kmc_over_ct02
70.0,100.0,0.0,100.0,erratum2010_approx,3624129.740951857,9.060324352379644e-09,0.5,0.8731943587712933,791142.4113136075,0.8731943587712933,791142.4113136075,305995.4061378733,0.38677664319600896,-0.4125397601251363
70.0,100.0,1.0,100.0,erratum2010_approx,3624129.740951857,9.060324352379644e-09,0.5,0.8731943587712933,791142.4113136075,0.8731943587712933,791142.4113136075,306712.9953734787,0.3876836723545316,-0.41152248930914115
70.0,100.0,10.0,100.0,erratum2010_approx,3624129.740951857,9.060324352379644e-09,0.5,0.8731943587712933,791142.4113136075,0.8731943587712933,791142.4113136075,306680.68283111625,0.38764282946467976,-0.4115682451079238
70.0,100.0,100.0,100.0,erratum2010_approx,3624129.740951857,9.060324352379644e-09,0.5,0.8731943587712933,791142.4113136075,0.8731943587712933,791142.4113136075,302285.3636920379,0.38208716833942113,-0.4178375470092005
70.0,1000.0,0.0,100.0,erratum2010_approx,36241297.40951857,9.060324352379644e-08,0.5,0.8731943587712933,7911424.1131360745,0.8731943587712933,7911424.1131360745,3064287.26657024,0.3873243581370285,-0.4119251901508675
70.0,1000.0,1.0,100.0,erratum2010_approx,36241297.40951857,9.060324352379644e-08,0.5,0.8731943587712933,7911424.1131360745,0.8731943587712933,7911424.1131360745,3055969.4553226335,0.3862729910091058,-0.413105657544502
70.0,1000.0,10.0,100.0,erratum2010_approx,36241297.40951857,9.060324352379644e-08,0.5,0.8731943587712933,7911424.1131360745,0.8731943587712933,7911424.1131360745,3082512.403076087,0.38962800615857573,-0.4093498339212772
70.0,1000.0,100.0,100.0,erratum2010_approx,36241297.40951857,9.060324352379644e-08,0.5,0.8731943587712933,7911424.1131360745,0.8731943587712933,7911424.1131360745,3084510.6530512264,0.38988058394312675,-0.40906839214292184
70.0,10000.0,0.0,100.0,erratum2010_approx,362412974.0951857,9.060324352379644e-07,0.5,0.8731943587712933,79114241.13136075,0.8731943587712933,79114241.13136075,30821384.35758219,0.3895807368790477,-0.40940252528920956
70.0,10000.0,1.0,100.0,erratum2010_approx,362412974.0951857,9.060324352379644e-07,0.5,0.8731943587712933,79114241.13136075,0.8731943587712933,79114241.13136075,30784099.47499252,0.3891094578519537,-0.40992821293053
70.0,10000.0,10.0,100.0,erratum2010_approx,362412974.0951857,9.060324352379644e-07,0.5,0.8731943587712933,79114241.13136075,0.8731943587712933,79114241.13136075,30873722.132912196,0.3902422837078052,-0.40866567552051464
70.0,10000.0,100.0,100.0,erratum2010_approx,362412974.0951857,9.060324352379644e-07,0.5,0.8731943587712933,79114241.13136075,0.8731943587712933,79114241.13136075,30718804.147513337,0.3882841282204558,-0.41085036162277605
80.0,10.0,0.0,100.0,erratum2010_approx,362412.9740951857,9.060324352379644e-10,0.5,0.8281197529580125,75030.33564412095,0.8281197529580125,75030.33564412095,29290.321012832555,0.3903797145698577,-0.4085127578067404
80.0,10.0,1.0,100.0,erratum2010_approx,362412.9740951857,9.060324352379644e-10,0.5,0.8281197529580125,75030.33564412095,0.8281197529580125,75030.33564412095,29294.166281710895,0.3904309640924052,-0.40845574684241126
80.0,10.0,10.0,100.0,erratum2010_approx,362412.9740951857,9.060324352379644e-10,0.5,0.8281197529580125,75030.33564412095,0.8281197529580125,75030.33564412095,28807.772129474208,0.3839483307940055,-0.4157272161555664
80.0,10.0,100.0,100.0,erratum2010_approx,362412.9740951857,9.060324352379644e-10,0.5,0.8281197529580125,75030.33564412095,0.8281197529580125,75030.33564412095,21171.03982779805,0.2821664017100385,-0.5494947000806939
80.0,100.0,0.0,100.0,erratum2010_approx,3624129.740951857,9.060324352379644e-09,0.5,0.8281197529580125,750303.3564412094,0.8281197529580125,750303.3564412094,299670.7417972089,0.3993994418718688,-0.39859254635599456
80.0,100.0,1.0,100.0,erratum2010_approx,3624129.740951857,9.060324352379644e-09,0.5,0.8281197529580125,750303.3564412094,0.8281197529580125,750303.3564412094,298865.2170880369,0.3983258431704146,-0.3997615158798782
80.0,100.0,10.0,100.0,erratum2010_approx,3624129.740951857,9.060324352379644e-09,0.5,0.8281197529580125,750303.3564412094,0.8281197529580125,750303.3564412094,300886.4677428948,0.4010197544231177,-0.3968342333009122
80.0,100.0,100.0,100.0,erratum2010_approx,3624129.740951857,9.060324352379644e-09,0.5,0.8281197529580125,750303.3564412094,0.8281197529580125,750303.3564412094,296114.70277990575,0.3946599735131373,-0.40377691759701695
80.0,1000.0,0.0,100.0,erratum2010_approx,36241297.40951857,9.060324352379644e-08,0.5,0.8281197529580125,7503033.564412095,0.8281197529580125,7503033.564412095,3044764.6697587795,0.4058044847620716,-0.3916831576559066
